"","fb","Taxa","plant","ra","z_land","p_land","z_even","p_even","p_land_BH","p_even_BH","target","target_k","target_p","target_c","landscape","target2","plant2","tag_ord","Top"
"25%192","Fungi","Glutinomyces","Betula","perc25",2.61736204492438,1e-04,-13.9970162713741,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Glutinomyces*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* reduction","Fng_*Glutinomyces*","*Betula*","Fng_*Glutinomyces*",FALSE
"25%603","Fungi","Pir4 lineage","Betula","perc25",2.05473824948732,0.0001000100010001,-11.7317712943306,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pir4 lineage*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Pir4 lineage*","*Betula*","Prok_*Pir4 lineage*",FALSE
"50%616","Fungi","Rhodanobacter","Betula","median",1.84858353745896,0.0013001300130013,-10.5897066042779,0.0002000200020002,0.00308192236546489,0.00310237209287939,"Prok_*Rhodanobacter*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"50%172","Fungi","Ellin6067","Betula","median",1.94848367068965,0.0018001800180018,-9.40461632782005,0.0013001300130013,0.00415760793570726,0.0138726638621309,"Prok_*Ellin6067*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_*Ellin6067*","*Betula*","Prok_*Ellin6067*",FALSE
"75%605","Fungi","Podila","Betula","perc75",2.53339477748623,0.0027002700270027,2.53731898041396,0.0002000200020002,0.00601269446471274,0.00310237209287939,"Fng_*Podila*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","with Δ*H* increase","Fng_*Podila*","*Betula*","Fng_*Podila*",FALSE
"75%639","Fungi","Streptacidiphilus","Betula","perc75",1.80147758881631,0.0094009400940094,-7.3603348858739,0.0006000600060006,0.0184735836507933,0.00761848336732407,"Prok_*Streptacidiphilus*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"25%2142","Fungi","Ramariopsis","Pinus","perc25",3.3461555678595,0.0085008500850085,-3.48871013530424,0.0004000400040004,0.016864454155465,0.00544669851600545,"Fng_*Ramariopsis*","Fungi","Fng_Basidiomycota","Fng_Agaricomycetes","with Δ*H* reduction","Fng_*Ramariopsis*","*Pinus*","Fng_*Ramariopsis*",FALSE
"25%2167","Fungi","Sphingomonas","Pinus","perc25",2.92286806293628,0.0084008400840084,-3.39046373592509,0.0015001500150015,0.0166825389662977,0.015511860464397,"Prok_*Sphingomonas*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_*Sphingomonas*","*Pinus*","Prok_*Sphingomonas*",FALSE
"50%2119","Fungi","Oidiodendron","Pinus","median",3.42226949073764,0.0024002400240024,-3.76253953936787,0.0001000100010001,0.0054005400540054,0.00168588287400169,"Fng_*Oidiodendron*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* reduction","Fng_*Oidiodendron*","*Pinus*","Fng_*Oidiodendron*",FALSE
"50%257","Fungi","Dactylosporangium","Pinus","median",2.9812043141084,0.0056005600560056,-2.88097695209687,1e-04,0.0115641193749005,0.00168588287400169,"Prok_*Dactylosporangium*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","with Δ*H* reduction","Prok_*Dactylosporangium*","*Pinus*","Prok_*Dactylosporangium*",FALSE
"25%346","Fungi","Cladophialophora","Acer","perc25",5.80587820445249,1e-04,3.79729939385054,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","with Δ*H* increase","Fng_*Cladophialophora*","*Acer*","Fng_*Cladophialophora*",FALSE
"25%345","Fungi","Cistella","Acer","perc25",2.94767179767128,0.0039003900390039,2.85489816233454,0.0007000700070007,0.00837526691328191,0.00856305142709393,"Fng_*Cistella*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Cistella*","*Acer*","Fng_*Cistella*",FALSE
"25%343","Fungi","Chthoniobacter","Acer","perc25",4.79603528586885,0.0011001100110011,-3.42229255904407,0.0016001600160016,0.00263684807971243,0.0163216321632163,"Prok_*Chthoniobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Chthoniobacter*","*Acer*","Prok_*Chthoniobacter*",FALSE
"25%3160","Fungi","Sphaerotilus","Acer","perc25",3.54669927486555,0.0049004900490049,-3.23751597627079,0.0003000300030003,0.0102772032689162,0.00431957071305217,"Prok_*Sphaerotilus*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_*Sphaerotilus*","*Acer*","Prok_*Sphaerotilus*",FALSE
"50%346","Fungi","Cladophialophora","Acer","median",7.07838434947846,1e-04,4.83028082343125,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","with Δ*H* increase","Fng_*Cladophialophora*","*Acer*","Fng_*Cladophialophora*",FALSE
"50%3152","Fungi","Saitozyma","Acer","median",4.48715536425317,0.0004000400040004,3.61392025954037,0.0004000400040004,0.00102801573371166,0.00544669851600545,"Fng_*Saitozyma*","Fungi","Fng_Basidiomycota","Fng_Tremellomycetes","with Δ*H* increase","Fng_*Saitozyma*","*Acer*","Fng_*Saitozyma*",FALSE
"50%343","Fungi","Chthoniobacter","Acer","median",4.21908433752535,0.0013001300130013,-2.92085280840223,0.0021002100210021,0.00308192236546489,0.019687015430515,"Prok_*Chthoniobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Chthoniobacter*","*Acer*","Prok_*Chthoniobacter*",FALSE
"50%3160","Fungi","Sphaerotilus","Acer","median",3.26377956187162,0.0053005300530053,-2.8542273844773,0.0005000500050005,0.0110240039547996,0.00658490356694313,"Prok_*Sphaerotilus*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_*Sphaerotilus*","*Acer*","Prok_*Sphaerotilus*",FALSE
"75%346","Fungi","Cladophialophora","Acer","perc75",8.91778062595554,1e-04,5.93527559950416,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","with Δ*H* increase","Fng_*Cladophialophora*","*Acer*","Fng_*Cladophialophora*",FALSE
"75%381","Fungi","Hyaloscypha","Acer","perc75",6.39872321147594,1e-04,3.99022812807682,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Hyaloscypha*","*Acer*","Fng_*Hyaloscypha*",FALSE
"75%343","Fungi","Chthoniobacter","Acer","perc75",3.81275842501392,0.0014001400140014,-2.64218546988912,0.0023002300230023,0.00329950803299508,0.0209105502695285,"Prok_*Chthoniobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Chthoniobacter*","*Acer*","Prok_*Chthoniobacter*",FALSE
"75%3160","Fungi","Sphaerotilus","Acer","perc75",3.01370748330421,0.0059005900590059,-2.59416686272742,0.001000100010001,0.0121461376906921,0.0113773192064008,"Prok_*Sphaerotilus*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_*Sphaerotilus*","*Acer*","Prok_*Sphaerotilus*",FALSE
"25%4100","Fungi","Mortierella","Populus","perc25",7.65866721444646,1e-04,6.63119572817254,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Mortierella*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","with Δ*H* increase","Fng_*Mortierella*","*Populus*","Fng_*Mortierella*",FALSE
"25%4102","Fungi","Mycena","Populus","perc25",6.60514624567814,0.0003000300030003,5.3220685422682,0.0014001400140014,0.000787824094228001,0.014756642038985,"Fng_*Mycena*","Fungi","Fng_Basidiomycota","Fng_Agaricomycetes","with Δ*H* increase","Fng_*Mycena*","*Populus*","Fng_*Mycena*",FALSE
"25%4154","Fungi","Spirochaeta 2","Populus","perc25",3.10093518630657,0.0049004900490049,-3.51456207976669,0.0005000500050005,0.0102772032689162,0.00658490356694313,"Prok_*Spirochaeta 2*","Prokaryote","Prok_Spirochaetota","Prok_Spirochaetia","with Δ*H* reduction","Prok_*Spirochaeta 2*","*Populus*","Prok_*Spirochaeta 2*",FALSE
"25%4108","Fungi","Nitrospira","Populus","perc25",2.74368480535228,0.0149014901490149,-3.35895972699721,0.0016001600160016,0.0279072697316388,0.0163216321632163,"Prok_*Nitrospira*","Prokaryote","Prok_Nitrospirota","Prok_Nitrospiria","with Δ*H* reduction","Prok_Others","*Populus*","Prok_Others",FALSE
"50%445","Fungi","Cladophialophora","Populus","median",24.9485024217751,1e-04,8.62946281707562,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","with Δ*H* increase","Fng_*Cladophialophora*","*Populus*","Fng_*Cladophialophora*",FALSE
"50%4100","Fungi","Mortierella","Populus","median",12.8049025199757,1e-04,8.3113281103398,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Mortierella*","Fungi","Fng_Mortierellomycota","Fng_Mortierellomycetes","with Δ*H* increase","Fng_*Mortierella*","*Populus*","Fng_*Mortierella*",FALSE
"50%450","Fungi","Collimonas","Populus","median",3.46009833347054,0.0004000400040004,-3.44854070378321,0.0008000800080008,0.00102801573371166,0.0095344187884135,"Prok_*Collimonas*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_Others","*Populus*","Prok_Others",FALSE
"75%445","Fungi","Cladophialophora","Populus","perc75",24.754695335158,1e-04,9.55781196068594,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Cladophialophora*","Fungi","Fng_Ascomycota","Fng_Eurotiomycetes","with Δ*H* increase","Fng_*Cladophialophora*","*Populus*","Fng_*Cladophialophora*",FALSE
"75%4124","Fungi","Phialocephala","Populus","perc75",10.2162049393745,0.0001000100010001,9.16527616958286,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Phialocephala*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Phialocephala*","*Populus*","Fng_*Phialocephala*",FALSE
"75%450","Fungi","Collimonas","Populus","perc75",2.55109299210303,0.0071007100710071,-2.82597594379277,0.0028002800280028,0.014308358546698,0.0240744074407441,"Prok_*Collimonas*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_Others","*Populus*","Prok_Others",FALSE
"75%4112","Fungi","Oidiodendron","Populus","perc75",16.5315520047241,1e-04,-4.02694979011379,0.0021002100210021,0.000278391223310958,0.019687015430515,"Fng_*Oidiodendron*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* reduction","Fng_*Oidiodendron*","*Populus*","Fng_*Oidiodendron*",FALSE
"25%1133","Fungi","Oidiodendron","Larix","perc25",61.9708148479254,0.0001000100010001,61.1104976019552,0.0001000100010001,0.000278391223310958,0.00168588287400169,"Fng_*Oidiodendron*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Oidiodendron*","*Larix*","Fng_*Oidiodendron*",FALSE
